rho, 	 theta, 	 x1 ,	 y1,  	 x2 ,	 y2 
-4.433786671143025e-12 , 44.0 , -502 , 911 , 886 , -527
-4.433786671143025e-12 , 45.0 , -515 , 899 , 899 , -515
-4.433786671143025e-12 , 46.0 , -527 , 886 , 911 , -502
12.067955732245878 , 134.0 , -535 , -493 , 902 , 895
12.067955732245878 , 135.0 , -523 , -506 , 890 , 907
12.067955732245878 , 136.0 , -511 , -518 , 877 , 919
72.40773439349744 , 88.0 , -804 , 299 , 1193 , 229
72.40773439349744 , 89.0 , -806 , 281 , 1193 , 246
72.40773439349744 , 90.0 , -808 , 264 , 1192 , 264
72.40773439349744 , 91.0 , -809 , 246 , 1190 , 281
72.40773439349744 , 92.0 , -809 , 229 , 1188 , 299
