rho, 	 theta, 	 x1 ,	 y1,  	 x2 ,	 y2 
-156.88342451925848 , 0.0 , 35 , 1192 , 35 , -808
-156.88342451925848 , 1.0 , 17 , 1189 , 52 , -810
-156.88342451925848 , 2.0 , 0 , 1185 , 70 , -812
-150.84944665313333 , 4.0 , -28 , 1179 , 111 , -816
-150.84944665313333 , 5.0 , -45 , 1175 , 128 , -817
-138.78149092088302 , 179.0 , 313 , -810 , 348 , 1189
-114.64557945638239 , 88.0 , -811 , 112 , 1187 , 42
-114.64557945638239 , 89.0 , -809 , 94 , 1189 , 59
-114.64557945638239 , 90.0 , -808 , 77 , 1192 , 77
-114.64557945638239 , 91.0 , -805 , 59 , 1193 , 94
-114.64557945638239 , 92.0 , -803 , 42 , 1195 , 112
-90.50966799188177 , 0.0 , 101 , 1192 , 101 , -808
-90.50966799188177 , 1.0 , 84 , 1190 , 118 , -809
-90.50966799188177 , 2.0 , 66 , 1188 , 136 , -810
-60.33977866125599 , 178.0 , 217 , -809 , 287 , 1189
-60.33977866125599 , 179.0 , 234 , -808 , 269 , 1190
-48.27182292900568 , 88.0 , -809 , 178 , 1189 , 108
-48.27182292900568 , 89.0 , -808 , 161 , 1191 , 126
-42.237845062880524 , 88.0 , -808 , 184 , 1189 , 114
-42.237845062880524 , 89.0 , -808 , 167 , 1191 , 132
-42.237845062880524 , 90.0 , -808 , 149 , 1192 , 149
-42.237845062880524 , 91.0 , -807 , 132 , 1192 , 167
-42.237845062880524 , 92.0 , -805 , 114 , 1192 , 184
-30.169889330630212 , 1.0 , 144 , 1191 , 179 , -808
-30.169889330630212 , 2.0 , 126 , 1190 , 196 , -808
-24.135911464505057 , 0.0 , 167 , 1192 , 167 , -808
24.13591146449619 , 178.0 , 132 , -806 , 202 , 1192
24.13591146449619 , 179.0 , 150 , -807 , 185 , 1192
36.2038671967465 , 88.0 , -806 , 263 , 1192 , 193
36.2038671967465 , 89.0 , -807 , 245 , 1192 , 210
36.2038671967465 , 90.0 , -808 , 228 , 1192 , 228
42.237845062871656 , 91.0 , -808 , 216 , 1191 , 251
42.237845062871656 , 92.0 , -808 , 199 , 1189 , 269
60.339778661247124 , 0.0 , 252 , 1192 , 252 , -808
60.339778661247124 , 1.0 , 234 , 1192 , 269 , -806
60.339778661247124 , 2.0 , 217 , 1193 , 287 , -805
96.54364585799806 , 88.0 , -804 , 323 , 1194 , 253
102.57762372412321 , 88.0 , -803 , 329 , 1194 , 259
102.57762372412321 , 89.0 , -806 , 312 , 1193 , 277
102.57762372412321 , 90.0 , -808 , 294 , 1192 , 294
102.57762372412321 , 91.0 , -809 , 277 , 1190 , 312
102.57762372412321 , 92.0 , -810 , 259 , 1187 , 329
138.78149092087415 , 0.0 , 330 , 1192 , 330 , -808
156.88342451924962 , 178.0 , 0 , -801 , 70 , 1196
156.88342451924962 , 179.0 , 17 , -805 , 52 , 1194
